date,transport_type,ridership,year
2020-10-19,ferry,22112.0,2020
2020-10-20,ferry,22068.0,2020
2020-10-21,ferry,22498.0,2020
2020-10-22,ferry,22592.0,2020
2020-10-23,ferry,23726.0,2020
2020-10-24,ferry,19809.0,2020
2020-10-25,ferry,14623.0,2020
2020-10-26,ferry,20715.0,2020
2020-10-27,ferry,22694.0,2020
2020-10-28,ferry,21965.0,2020
2020-10-29,ferry,19608.0,2020
2020-10-30,ferry,20928.0,2020
2020-10-31,ferry,17382.0,2020
2020-11-01,ferry,12139.0,2020
2020-11-02,ferry,21623.0,2020
2020-11-03,ferry,19956.0,2020
2020-11-04,ferry,21334.0,2020
2020-11-05,ferry,23028.0,2020
2020-11-06,ferry,23799.0,2020
2020-11-07,ferry,20090.0,2020
2020-11-08,ferry,17464.0,2020
2020-11-09,ferry,22204.0,2020
2020-11-10,ferry,23794.0,2020
2020-11-11,ferry,19384.0,2020
2020-11-12,ferry,21014.0,2020
2020-11-13,ferry,21956.0,2020
2020-11-14,ferry,18110.0,2020
2020-11-15,ferry,12466.0,2020
2020-11-16,ferry,21802.0,2020
2020-11-17,ferry,21588.0,2020
2020-11-18,ferry,21412.0,2020
2020-11-19,ferry,21086.0,2020
2020-11-20,ferry,22763.0,2020
2020-11-21,ferry,16897.0,2020
2020-11-22,ferry,12547.0,2020
2020-11-23,ferry,20507.0,2020
2020-11-24,ferry,21839.0,2020
2020-11-25,ferry,21917.0,2020
2020-11-26,ferry,12436.0,2020
2020-11-27,ferry,19091.0,2020
2020-11-28,ferry,16730.0,2020
2020-11-29,ferry,13834.0,2020
2020-11-30,ferry,18514.0,2020
2020-12-01,ferry,21864.0,2020
2020-12-02,ferry,21112.0,2020
2020-12-03,ferry,21658.0,2020
2020-12-04,ferry,20957.0,2020
2020-12-05,ferry,12863.0,2020
2020-12-06,ferry,13245.0,2020
2020-12-07,ferry,20727.0,2020
2020-12-08,ferry,20954.0,2020
2020-12-09,ferry,20169.0,2020
2020-12-10,ferry,21584.0,2020
2020-12-11,ferry,22720.0,2020
2020-12-12,ferry,15413.0,2020
2020-12-13,ferry,15225.0,2020
2020-12-14,ferry,18909.0,2020
2020-12-15,ferry,21547.0,2020
2020-12-16,ferry,17642.0,2020
2020-12-17,ferry,10438.0,2020
2020-12-18,ferry,20296.0,2020
2020-12-19,ferry,14854.0,2020
2020-12-20,ferry,12002.0,2020
2020-12-21,ferry,21420.0,2020
2020-12-22,ferry,22419.0,2020
2020-12-23,ferry,22390.0,2020
2020-12-24,ferry,17841.0,2020
2020-12-25,ferry,10324.0,2020
2020-12-26,ferry,16118.0,2020
2020-12-27,ferry,14908.0,2020
2020-12-28,ferry,22962.0,2020
2020-12-29,ferry,22138.0,2020
2020-12-30,ferry,22761.0,2020
2020-12-31,ferry,18503.0,2020
2021-01-01,ferry,13086.0,2021
2021-01-02,ferry,20432.0,2021
2021-01-03,ferry,10568.0,2021
2021-01-04,ferry,20439.0,2021
2021-01-05,ferry,20745.0,2021
2021-01-06,ferry,20457.0,2021
2021-01-07,ferry,19981.0,2021
2021-01-08,ferry,20222.0,2021
2021-01-09,ferry,14439.0,2021
2021-01-10,ferry,12203.0,2021
2021-01-11,ferry,19603.0,2021
2021-01-12,ferry,20542.0,2021
2021-01-13,ferry,20329.0,2021
2021-01-14,ferry,20275.0,2021
2021-01-15,ferry,20370.0,2021
2021-01-16,ferry,14467.0,2021
2021-01-17,ferry,13473.0,2021
2021-01-18,ferry,16714.0,2021
2021-01-19,ferry,20602.0,2021
2021-01-20,ferry,18936.0,2021
2021-01-21,ferry,20041.0,2021
2021-01-22,ferry,20959.0,2021
2021-01-23,ferry,14098.0,2021
2021-01-24,ferry,11176.0,2021
2021-01-25,ferry,20008.0,2021
2021-01-26,ferry,18074.0,2021
2021-01-27,ferry,20024.0,2021
2021-01-28,ferry,19553.0,2021
2021-01-29,ferry,17878.0,2021
2021-01-30,ferry,13030.0,2021
2021-01-31,ferry,10295.0,2021
2021-02-01,ferry,6923.0,2021
2021-02-02,ferry,10149.0,2021
2021-02-03,ferry,18801.0,2021
2021-02-04,ferry,20096.0,2021
2021-02-05,ferry,20285.0,2021
2021-02-06,ferry,15230.0,2021
2021-02-07,ferry,8023.0,2021
2021-02-08,ferry,19369.0,2021
2021-02-09,ferry,19025.0,2021
2021-02-10,ferry,20092.0,2021
2021-02-11,ferry,18987.0,2021
2021-02-12,ferry,19782.0,2021
2021-02-13,ferry,14869.0,2021
2021-02-14,ferry,12870.0,2021
2021-02-15,ferry,14896.0,2021
2021-02-16,ferry,20458.0,2021
2021-02-17,ferry,21422.0,2021
2021-02-18,ferry,15352.0,2021
2021-02-19,ferry,17349.0,2021
2021-02-20,ferry,14978.0,2021
2021-02-21,ferry,12886.0,2021
2021-02-22,ferry,18761.0,2021
2021-02-23,ferry,20693.0,2021
2021-02-24,ferry,21780.0,2021
2021-02-25,ferry,21403.0,2021
2021-02-26,ferry,22151.0,2021
2021-02-27,ferry,14149.0,2021
2021-02-28,ferry,11747.0,2021
2021-03-01,ferry,20429.0,2021
2021-03-02,ferry,20735.0,2021
2021-03-03,ferry,22092.0,2021
2021-03-04,ferry,21181.0,2021
2021-03-05,ferry,21778.0,2021
2021-03-06,ferry,15653.0,2021
2021-03-07,ferry,13533.0,2021
2021-03-08,ferry,20995.0,2021
2021-03-09,ferry,22921.0,2021
2021-03-10,ferry,22012.0,2021
2021-03-11,ferry,23633.0,2021
2021-03-12,ferry,23836.0,2021
2021-03-13,ferry,18440.0,2021
2021-03-14,ferry,11968.0,2021
2021-03-15,ferry,22126.0,2021
2021-03-16,ferry,21148.0,2021
2021-03-17,ferry,21837.0,2021
2021-03-18,ferry,19543.0,2021
2021-03-19,ferry,22255.0,2021
2021-03-20,ferry,20336.0,2021
2021-03-21,ferry,17806.0,2021
2021-03-22,ferry,22272.0,2021
2021-03-23,ferry,22934.0,2021
2021-03-24,ferry,20784.0,2021
2021-03-25,ferry,22549.0,2021
2021-03-26,ferry,23868.0,2021
2021-03-27,ferry,21571.0,2021
2021-03-28,ferry,11287.0,2021
2021-03-29,ferry,24212.0,2021
2021-03-30,ferry,30207.0,2021
2021-03-31,ferry,24186.0,2021
2021-04-01,ferry,23991.0,2021
2021-04-02,ferry,22510.0,2021
2021-04-03,ferry,22304.0,2021
2021-04-04,ferry,17857.0,2021
2021-04-05,ferry,23653.0,2021
2021-04-06,ferry,24299.0,2021
2021-04-07,ferry,24207.0,2021
2021-04-08,ferry,23227.0,2021
2021-04-09,ferry,24398.0,2021
2021-04-10,ferry,20737.0,2021
2021-04-11,ferry,11444.0,2021
2021-04-12,ferry,20907.0,2021
2021-04-13,ferry,23570.0,2021
2021-04-14,ferry,23366.0,2021
2021-04-15,ferry,20429.0,2021
2021-04-16,ferry,23251.0,2021
2021-04-17,ferry,21079.0,2021
2021-04-18,ferry,17519.0,2021
2021-04-19,ferry,22873.0,2021
2021-04-20,ferry,25544.0,2021
2021-04-21,ferry,21500.0,2021
2021-04-22,ferry,22652.0,2021
2021-04-23,ferry,25402.0,2021
2021-04-24,ferry,24312.0,2021
2021-04-25,ferry,13817.0,2021
2021-04-26,ferry,22972.0,2021
2021-04-27,ferry,23708.0,2021
2021-04-28,ferry,25614.0,2021
2021-04-29,ferry,22163.0,2021
2021-04-30,ferry,24857.0,2021
2021-05-01,ferry,22028.0,2021
2021-05-02,ferry,19261.0,2021
2021-05-03,ferry,22504.0,2021
2021-05-04,ferry,24289.0,2021
2021-05-05,ferry,22039.0,2021
2021-05-06,ferry,25865.0,2021
2021-05-07,ferry,26474.0,2021
2021-05-08,ferry,18153.0,2021
2021-05-09,ferry,16328.0,2021
2021-05-10,ferry,23336.0,2021
2021-05-11,ferry,25452.0,2021
2021-05-12,ferry,25207.0,2021
2021-05-13,ferry,26752.0,2021
2021-05-14,ferry,28726.0,2021
2021-05-15,ferry,27475.0,2021
2021-05-16,ferry,20823.0,2021
2021-05-17,ferry,26285.0,2021
2021-05-18,ferry,26890.0,2021
2021-05-19,ferry,27022.0,2021
2021-05-20,ferry,27140.0,2021
2021-05-21,ferry,29546.0,2021
2021-05-22,ferry,27460.0,2021
