date,ridership,transport_type,year
2021-09-10,2840443.0,subway,2021
2021-09-11,1983091.0,subway,2021
2021-09-12,1589976.0,subway,2021
2021-09-13,2852796.0,subway,2021
2021-09-14,3011275.0,subway,2021
2021-09-15,2987334.0,subway,2021
2021-09-16,2534545.0,subway,2021
2021-09-17,3028545.0,subway,2021
2021-09-18,2014848.0,subway,2021
2021-09-19,1596823.0,subway,2021
2021-09-20,2883211.0,subway,2021
2021-09-21,3018312.0,subway,2021
2021-09-22,3021113.0,subway,2021
2021-09-23,3016106.0,subway,2021
2021-09-24,3121747.0,subway,2021
2021-09-25,2129492.0,subway,2021
2021-09-26,1614677.0,subway,2021
2021-09-27,2873368.0,subway,2021
2021-09-28,2927715.0,subway,2021
2021-09-29,3063720.0,subway,2021
2021-09-30,3146861.0,subway,2021
2021-10-01,3162881.0,subway,2021
2021-10-02,2063660.0,subway,2021
2021-10-03,1575738.0,subway,2021
2021-10-04,2864349.0,subway,2021
2021-10-05,3091160.0,subway,2021
2021-10-06,3140986.0,subway,2021
2021-10-07,3190747.0,subway,2021
2021-10-08,3168473.0,subway,2021
2021-10-09,2052699.0,subway,2021
2021-10-10,1499385.0,subway,2021
2021-10-11,2263615.0,subway,2021
2021-10-12,3102879.0,subway,2021
2021-10-13,3157457.0,subway,2021
2021-10-14,3240686.0,subway,2021
2021-10-15,3227068.0,subway,2021
2021-10-16,2042027.0,subway,2021
2021-10-17,1629991.0,subway,2021
2021-10-18,2982883.0,subway,2021
2021-10-19,3178208.0,subway,2021
2021-10-20,3234327.0,subway,2021
2021-10-21,3267697.0,subway,2021
2021-10-22,3225816.0,subway,2021
2021-10-23,2077488.0,subway,2021
2021-10-24,1599927.0,subway,2021
2021-10-25,2994936.0,subway,2021
2021-10-26,2702635.0,subway,2021
2021-10-27,3300580.0,subway,2021
2021-10-28,3365971.0,subway,2021
2021-10-29,3251779.0,subway,2021
2021-10-30,2044310.0,subway,2021
2021-10-31,1746769.0,subway,2021
2021-11-01,3034306.0,subway,2021
2021-11-02,2848222.0,subway,2021
2021-11-03,3293732.0,subway,2021
2021-11-04,3284315.0,subway,2021
2021-11-05,3293438.0,subway,2021
2021-11-06,2195864.0,subway,2021
2021-11-07,1888985.0,subway,2021
2021-11-08,3065533.0,subway,2021
2021-11-09,3279457.0,subway,2021
2021-11-10,3351992.0,subway,2021
2021-11-11,2922235.0,subway,2021
2021-11-12,3158682.0,subway,2021
2021-11-13,2169863.0,subway,2021
2021-11-14,1703136.0,subway,2021
2021-11-15,3110969.0,subway,2021
2021-11-16,3340844.0,subway,2021
2021-11-17,3369069.0,subway,2021
2021-11-18,3412249.0,subway,2021
2021-11-19,3316999.0,subway,2021
2021-11-20,2135731.0,subway,2021
2021-11-21,1674206.0,subway,2021
2021-11-22,3130363.0,subway,2021
2021-11-23,3286591.0,subway,2021
2021-11-24,3085289.0,subway,2021
2021-11-25,1357198.0,subway,2021
2021-11-26,2089772.0,subway,2021
2021-11-27,1880422.0,subway,2021
2021-11-28,1465745.0,subway,2021
2021-11-29,2996015.0,subway,2021
2021-11-30,3207209.0,subway,2021
2021-12-01,3326469.0,subway,2021
2021-12-02,3358843.0,subway,2021
2021-12-03,3374097.0,subway,2021
2021-12-04,2318147.0,subway,2021
2021-12-05,1737352.0,subway,2021
2021-12-06,3135869.0,subway,2021
2021-12-07,3367790.0,subway,2021
2021-12-08,3378727.0,subway,2021
2021-12-09,3433600.0,subway,2021
2021-12-10,3417451.0,subway,2021
2021-12-11,2266265.0,subway,2021
2021-12-12,1829872.0,subway,2021
2021-12-13,3120850.0,subway,2021
2021-12-14,3274170.0,subway,2021
2021-12-15,3242168.0,subway,2021
2021-12-16,3219799.0,subway,2021
2021-12-17,3112088.0,subway,2021
2021-12-18,1880969.0,subway,2021
2021-12-19,1579809.0,subway,2021
2021-12-20,2716451.0,subway,2021
2021-12-21,2697325.0,subway,2021
2021-12-22,2634565.0,subway,2021
2021-12-23,2486489.0,subway,2021
2021-12-24,1575449.0,subway,2021
2021-12-25,810937.0,subway,2021
2021-12-26,1284738.0,subway,2021
2021-12-27,2007649.0,subway,2021
2021-12-28,2168419.0,subway,2021
2021-12-29,2167077.0,subway,2021
2021-12-30,2198415.0,subway,2021
2021-12-31,1627589.0,subway,2021
2022-01-01,1027918.0,subway,2022
2022-01-02,1219735.0,subway,2022
2022-01-03,2168229.0,subway,2022
2022-01-04,2289352.0,subway,2022
2022-01-05,2267942.0,subway,2022
2022-01-06,2391176.0,subway,2022
2022-01-07,2121941.0,subway,2022
2022-01-08,1486065.0,subway,2022
2022-01-09,1102472.0,subway,2022
2022-01-10,2347323.0,subway,2022
2022-01-11,2266378.0,subway,2022
2022-01-12,2459224.0,subway,2022
2022-01-13,2524197.0,subway,2022
2022-01-14,2522972.0,subway,2022
2022-01-15,1434676.0,subway,2022
2022-01-16,1165626.0,subway,2022
2022-01-17,1600048.0,subway,2022
2022-01-18,2541044.0,subway,2022
2022-01-19,2642129.0,subway,2022
2022-01-20,2545486.0,subway,2022
2022-01-21,2565781.0,subway,2022
2022-01-22,1583650.0,subway,2022
2022-01-23,1245716.0,subway,2022
2022-01-24,2536827.0,subway,2022
2022-01-25,2701246.0,subway,2022
2022-01-26,2711803.0,subway,2022
2022-01-27,2724979.0,subway,2022
2022-01-28,2703403.0,subway,2022
2022-01-29,999347.0,subway,2022
2022-01-30,1262477.0,subway,2022
2022-01-31,2575762.0,subway,2022
2022-02-01,2635083.0,subway,2022
2022-02-02,2940152.0,subway,2022
2022-02-03,2914198.0,subway,2022
2022-02-04,2725725.0,subway,2022
2022-02-05,1792780.0,subway,2022
2022-02-06,1323892.0,subway,2022
2022-02-07,2784230.0,subway,2022
2022-02-08,3016648.0,subway,2022
2022-02-09,3088775.0,subway,2022
2022-02-10,3112489.0,subway,2022
2022-02-11,3015472.0,subway,2022
2022-02-12,2026308.0,subway,2022
2022-02-13,1349864.0,subway,2022
2022-02-14,2907825.0,subway,2022
2022-02-15,3030742.0,subway,2022
2022-02-16,3100639.0,subway,2022
2022-02-17,3109956.0,subway,2022
2022-02-18,2953785.0,subway,2022
2022-02-19,1792136.0,subway,2022
2022-02-20,1477125.0,subway,2022
2022-02-21,1942267.0,subway,2022
2022-02-22,2669508.0,subway,2022
2022-02-23,2894245.0,subway,2022
2022-02-24,2858146.0,subway,2022
2022-02-25,2575630.0,subway,2022
2022-02-26,1824833.0,subway,2022
2022-02-27,1403227.0,subway,2022
2022-02-28,2915786.0,subway,2022
2022-03-01,3138181.0,subway,2022
2022-03-02,3208166.0,subway,2022
2022-03-03,3207495.0,subway,2022
2022-03-04,3077537.0,subway,2022
2022-03-05,1955535.0,subway,2022
2022-03-06,1444501.0,subway,2022
2022-03-07,2980920.0,subway,2022
2022-03-08,3244473.0,subway,2022
2022-03-09,3113559.0,subway,2022
2022-03-10,3339363.0,subway,2022
2022-03-11,3195956.0,subway,2022
2022-03-12,1663893.0,subway,2022
